,date,open,close,high,low,value,volume,sentiment_score,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,logmomentum
62,2025-03-27,315.51,311.96,317.16,311.95,11358486600.299994,36146350.0,-0.14508742357383003,319.8671428571429,319.396,-3.8762956116685245,4.038152782491855,327.47230556498374,311.3196944350163,313.5968586007265,5.7396642865439675
63,2025-03-28,311.96,308.04,313.65,305.65,16031305830.600002,51876870.0,-0.1599987847004929,317.40142857142854,318.97799999999995,-3.2284868311297146,4.736838385964469,328.4516767719289,309.50432322807103,309.89228620024215,5.72697803225939
64,2025-03-29,307.8,303.89,308.3,302.64,1747735531.2999992,5739820.0,-0.06064973656357049,314.5214285714286,318.4945,-2.3983581381289127,5.712095638113634,329.91869127622726,307.07030872377277,305.89076206674736,5.7133697032921065
65,2025-03-30,303.2,299.22,305.3,298.8,2759610417.2000003,9158830.0,-0.03681686592809359,311.08714285714285,317.6965,-1.405659899888576,7.136699277604206,331.96989855520843,303.4231014447916,301.44358735558245,5.697831469162762
66,2025-03-31,300.0,309.72,310.88,300.0,14913988983.299995,48565800.0,0.2499466074256575,309.69428571428574,317.3365,0.6172763996129902,7.356152652175871,332.04880530435173,302.62419469564827,306.96119578519415,5.7324347172293635
67,2025-04-01,310.5,303.24,312.9,302.7,14189067837.79999,46088340.0,-0.1347250083195228,307.3285714285715,316.62,0.2079557427280747,8.001762963642717,332.6235259272854,300.6164740727146,304.48039859506474,5.7112214037532
68,2025-04-02,303.23,306.11,306.5,301.21,12239463777.80001,40207020.0,0.09391784506920342,306.0257142857143,315.941,1.1342255549454876,8.29822549198307,332.5374509839661,299.34454901603385,305.5667995316883,5.720672367324469
69,2025-04-03,306.21,302.09,309.2,296.0,15830422691.600004,52408560.0,-0.1394807518593559,304.61571428571426,315.12600000000003,1.122197522544809,8.82853769855148,332.783075397103,297.46892460289706,303.2489331772294,5.70740922337855
70,2025-04-04,303.55,285.35,304.37,284.4,26036638105.7,88719200.0,-0.4278994011695655,301.37428571428575,313.57500000000005,0.216953912618294,11.045049140964597,335.66509828192926,291.48490171807083,291.3163110590765,5.6502058737528085
71,2025-04-05,285.25,284.98,287.03,280.11,3989185557.3999977,14100160.0,0.06932966805585372,298.67285714285714,311.7985,2.0856198555863443,12.616467632674443,337.0314352653489,286.5655647346511,287.0921036863588,5.6489038131462115
72,2025-04-06,285.35,290.35,290.47,284.22,2521287511.699998,8755880.0,0.13747641164582894,297.4057142857143,310.27900000000005,3.9065965262986992,13.294715966562965,336.868431933126,283.68956806687413,289.2640345621196,5.667637028019848
73,2025-04-07,285.3,287.56,294.0,275.76,35622731488.80004,125244840.0,0.1415193743272251,294.24000000000007,308.485,5.1460266108472865,13.835142705596311,336.1552854111926,280.8147145888074,288.12801152070654,5.657947938312402
74,2025-04-08,290.0,282.03,294.66,281.5,18971747387.59999,65532930.0,-0.3473738479542947,291.21,306.28550000000007,4.950164668286163,14.386483230339692,335.0584664606795,277.51253353932066,284.0626705069022,5.638461425200972
